# บ้านไท ฮาร์ดแวร์ Shopee · 687 รายการ · อัปเดต 2026-09-06 · ไม่มีราคา/สต๊อก · ลิงก์=shopee.co.th/product/54723061/<id>
id	ชื่อสินค้า	หมวด	หมวดย่อย	แบรนด์	ตัวเลือก
20610770644	(1ชิ้น) กาวยางอเนกประสงค์ สารพัดประโยชน์ กาวติดหนัง ซ่อมรองเท้า ตรา SMS	กาว-เทป-ซีลแลนท์	กาวทาท่อ-กาวยาง-กาวอเนกประสงค์		
25377701772	( 1ชิ้น) คราดหญ้าโปแลน คราดตะกาวมือเสือ คราดตะกุย 16 ซี่ คราดเหล็ก สีส้ม ใช้สำหรับงานสวน	กาว-เทป-ซีลแลนท์	กาวทาท่อ-กาวยาง-กาวอเนกประสงค์		
27401968715	(1แถว 5ม้วน) กระดาษกาวพ่นสี NITTO นิตโต้ เทป กระดาษกาว เทปกาวย่น 16 มม.x18 ม. คุณภาพดี	กาว-เทป-ซีลแลนท์	กาวทาท่อ-กาวยาง-กาวอเนกประสงค์		
29001405655	(1ม้วน) เทปผ้าใบ 8หลา ขนาด 2นิ้ว 11 สี เทปกาว แลคซีน เทปติดปก ติดตีเส้น เทปตกแต่ง เนื้อเหนียว คุณภาพดี	กาว-เทป-ซีลแลนท์	กาวทาท่อ-กาวยาง-กาวอเนกประสงค์		สีน้ำเงิน / สีน้ำตาล / สีดำ / สีเขียว / สีม่วง / สีแดง / สีบรอนซ์ / สีฟ้า / สีเหลือง / สีขาว / สีชมพู
25475780077	(1ม้วน) เทปย่น เทปกาว กระดาษกาว กระดาษกาวย่นพ่นสี เทปย่นพ่นสี INTER TAPE คุณภาพ คุ้มค่า	กาว-เทป-ซีลแลนท์	กาวทาท่อ-กาวยาง-กาวอเนกประสงค์		2 1/2นิ้วx20หลา / 3/4นิ้วx20หลา / 3นิ้วx20หลา / 1นิ้วx20หลา / 2นิ้วx20หลา / 1 1/2นิ้วx20หลา
14076437726	(20 กระป๋อง) กาวทาท่อ DS-LON ขนาด 50 กรัม น้ำยาประสานท่อพีวีซีแข็ง ท่อประปา ร้อยสายไฟ เกษตร	กาว-เทป-ซีลแลนท์	กาวทาท่อ-กาวยาง-กาวอเนกประสงค์	DS-LON(ดี-เอสล่อน)	
17551830987	(20กระป๋อง) กาวทาท่อ Ps-lon ขนาด 50 กรัม น้ำยาประสานพีวีซีแข็ง ท่อประปา ท่อร้อยสายไฟ เกษตร คุ้มค่า ราคาถูก	กาว-เทป-ซีลแลนท์	กาวทาท่อ-กาวยาง-กาวอเนกประสงค์		
12537729648	(50ม้วน) เทปกระดาษกาวย่น INTER กว้าง 3/4" ยาว 10หลา ยกแพ็ค	กาว-เทป-ซีลแลนท์	กาวทาท่อ-กาวยาง-กาวอเนกประสงค์	Inter Tape(อินเทอเทป)	
17251816967	(50ม้วน) เทปกาว,กระดาษกาว ตราหัวสิงห์ ขนาด 18.0m ผลิตจากกระดาษคุณภาพดี เนื้อกระดาษบางเรียบเนียน	กาว-เทป-ซีลแลนท์	กาวทาท่อ-กาวยาง-กาวอเนกประสงค์	Lion(ไลอ้อน)	
12537739166	(5ม้วน)เทปกระดาษกาวย่น INTER กว้าง 3/4" ยาว 10หลา	กาว-เทป-ซีลแลนท์	กาวทาท่อ-กาวยาง-กาวอเนกประสงค์	Inter Tape(อินเทอเทป)	
22757681807	กาวติดเหล็ก **ยกโหล** อีพ็อกซี่ Epoxy 2-Ton Steel กาวออลทีโก้ ควิก อีพร็อกซี่ กาวปะเหล็ก พลาสติก คอนกรีต	กาว-เทป-ซีลแลนท์	กาวทาท่อ-กาวยาง-กาวอเนกประสงค์	Alteco(ออลเทคโก้)	40กรัม สีเหล็ก
8022228007	กาวติดเหล็ก อีพ็อกซี่ Epoxy 2-Ton Steel กาวออลทีโก้ ควิก อีพร็อกซี่ กาวปะเหล็ก พลาสติก คอนกรีต	กาว-เทป-ซีลแลนท์	กาวทาท่อ-กาวยาง-กาวอเนกประสงค์	Alteco(ออลเทคโก้)	40กรัม สีเหล็ก
20078045394	กาวทาท่อ กาวพีวีซี PVC ADVANCE ขนาด 50กรัม 1 กระป๋อง	กาว-เทป-ซีลแลนท์	กาวทาท่อ-กาวยาง-กาวอเนกประสงค์		
23137595336	กาวทาท่อ กาวพีวีซี PVC ADVANCE ขนาด 50กรัม (**ยกลัง**)	กาว-เทป-ซีลแลนท์	กาวทาท่อ-กาวยาง-กาวอเนกประสงค์	Advanced(แอดวานซ์)	
17730409734	กาวทาท่อ DS-LON ขนาด 50 กรัม น้ำยาประสานท่อพีวีซีแข็ง กาวทาท่อประปา ร้อยสายไฟ เกษตร	กาว-เทป-ซีลแลนท์	กาวทาท่อ-กาวยาง-กาวอเนกประสงค์		
5581033110	กาวทาท่อ Ps-lon ขนาด 50 กรัม ติดดี ติดทน แล้วคุณจะติดใจ	กาว-เทป-ซีลแลนท์	กาวทาท่อ-กาวยาง-กาวอเนกประสงค์		
25885288717	กาวแท่งเล็ก (ยกแพ็ค12แผง) สีใส สีดำ กาวแท่งร้อน เหนียวติดทน คุณภาพดี ราคาโรงงาน	กาว-เทป-ซีลแลนท์	กาวทาท่อ-กาวยาง-กาวอเนกประสงค์	Anybond(เอนี่บอนด์)	สีใส / สีดำ
27109210350	กาวแท่งเล็ก สีใส สีดำ กาวแท่งร้อน เหนียวติดทน คุณภาพดี ราคาโรงงาน	กาว-เทป-ซีลแลนท์	กาวทาท่อ-กาวยาง-กาวอเนกประสงค์	Anybond(เอนี่บอนด์)	สีใส / สีดำ
17674324994	กาวยางอเนกประสงค์ **ยกกล่อง12ชิ้น** สารพัดประโยชน์ กาวติดหนัง กาวซ่อมรองเท้า ตรา SMS กาว	กาว-เทป-ซีลแลนท์	กาวทาท่อ-กาวยาง-กาวอเนกประสงค์		
6794516866	กาวยางอเนกประสงค์ **ยกลัง** สารพัดประโยชน์ กาวติดหนัง กาวซ่อมรองเท้า ตราหมา Dog x-66 กาว ยก	กาว-เทป-ซีลแลนท์	กาวทาท่อ-กาวยาง-กาวอเนกประสงค์		กาวยางDOGยกลัง 200ML / กาวยางDOGยกลัง 500ML
3790496063	กาวยางอเนกประสงค์ สารพัดประโยชน์ ติดหนัง กาวซ่อมรองเท้า ตราหมา Dog x-66	กาว-เทป-ซีลแลนท์	กาวทาท่อ-กาวยาง-กาวอเนกประสงค์		200ml. / 500ml.
17730367024	เทปกระดาษกาวย่น INTER กว้าง 3/4" ยาว 10หลา **ยกลัง 600ม้วน**	กาว-เทป-ซีลแลนท์	กาวทาท่อ-กาวยาง-กาวอเนกประสงค์	Inter Tape(อินเทอเทป)	
12022357282	เทปกาว กระดาษกาว หัวสิงห์ (แพ็ค5ม้วน) ญี่ปุ่นแท้ อย่างดี	กาว-เทป-ซีลแลนท์	กาวทาท่อ-กาวยาง-กาวอเนกประสงค์	Lion(ไลอ้อน)	
18078071984	เทปกาว เทปใส OPP 2นิ้ว 100หลา ยกลัง 72ม้วน แบบหนา ราคาคุ้ม เทป สี ใส เทปติดกล่อง ปิดกล่อง	กาว-เทป-ซีลแลนท์	กาวทาท่อ-กาวยาง-กาวอเนกประสงค์	S Sealing(เอส ซีลลิ่ง)	45หลา **ยกลัง** / 100หลา **ยกลัง**
20210769615	เทปกาวบิวทิล เทปกาวกันน้ำ อะลูมิเนียมฟอยล์ ติดหลังคากันเเตก กันรั่ว ป้องกันการรั่วซึม ซ่อมรอยรั่ว	กาว-เทป-ซีลแลนท์	กาวทาท่อ-กาวยาง-กาวอเนกประสงค์	Anybond(เอนี่บอนด์)	10ซม.X5เมตร / 5ซม.X5เมตร
4889023953	เทปน้ำตาล เทปใส เทปกาว OPP 2 สี ใส,สีน้ำตาล ติดกล่อง ปิดกล่อง	กาว-เทป-ซีลแลนท์	กาวทาท่อ-กาวยาง-กาวอเนกประสงค์		น้ำตาล,100หลา / ใส,28หลา / ใส,100หลา / น้ำตาล,28หลา
9185590562	เทปน้ำตาล (ยกโหล) เทปกาว เทป OPP 2 สี ใส,สีน้ำตาล ติดกล่อง ปิดกล่อง	กาว-เทป-ซีลแลนท์	กาวทาท่อ-กาวยาง-กาวอเนกประสงค์		
11044136371	เทปน้ำตาล ใส [ยกแพ็คx6ชิ้น] เทปกาว OPP 2 สี ใส,สีน้ำตาล ติดกล่อง ปิดกล่อง	กาว-เทป-ซีลแลนท์	กาวทาท่อ-กาวยาง-กาวอเนกประสงค์		ใส,28หลา ยกแพ็ค! / ใส,100หลา ยกแพ็ค! / น้ำตาล,28หลา ยกแพ็ค! / น้ำตาล,100หลา ยกแพ็ค!
28318546123	เทประวังแตก เทปกาว Fragile Tape กว้าง2นิ้ว ยาว45หลา	กาว-เทป-ซีลแลนท์	กาวทาท่อ-กาวยาง-กาวอเนกประสงค์	Anybond(เอนี่บอนด์)	แดง / ขาว / เหลือง
8754987396	เทปอุดรอยรั่ว เทปอลูมิเนียม อลูมิเนียมเทป เทปกาวอลูมิเนียมอเนกประสงค์ เทปตะกั่ว 50หลา กว้าง 2 นิ้ว เทป ติดหม้อรั่ว	กาว-เทป-ซีลแลนท์	กาวทาท่อ-กาวยาง-กาวอเนกประสงค์	Anybond(เอนี่บอนด์)	30หลา / 50หลา
10704313410	ปืนยิงกาวไฟฟ้า ขนาดเล็ก 10,40,65W ยี่ห้อ SONIC รุ่น 110-240V (แถมฟรีกาวแท่งเล็ก 2 หลอด)	กาว-เทป-ซีลแลนท์	กาวทาท่อ-กาวยาง-กาวอเนกประสงค์	SONIC(โซนิค)	10W / 40W / 65W
26068685620	(แพ็ค6ม้วน) เทประวังแตก เทปกาว Fragile Tape กว้าง2นิ้ว ยาว45หลา	กาว-เทป-ซีลแลนท์	กาวทาท่อ-กาวยาง-กาวอเนกประสงค์	Anybond(เอนี่บอนด์)	เหลือง X6 / แดง X6 / ขาว X6
27301963898	**ยกกล่อง50ม้วน** กระดาษกาวพ่นสี NITTO นิตโต้ เทป กระดาษกาว เทปกาวย่น 16 มม.x18 ม. คุณภาพดี	กาว-เทป-ซีลแลนท์	กาวทาท่อ-กาวยาง-กาวอเนกประสงค์		
25731495731	**ยกแพ็ค6ม้วน** เทปผ้าใบ 8หลา ขนาด 2นิ้ว 11 สี เทปกาว แลคซีน เทปติดปก ติดตีเส้น เทปตกแต่ง เนื้อเหนียว คุณภาพดี	กาว-เทป-ซีลแลนท์	กาวทาท่อ-กาวยาง-กาวอเนกประสงค์		สีขาว / สีฟ้า / สีบรอนซ์ / สีชมพู / สีน้ำตาล / สีน้ำเงิน / สีม่วง / สีเขียว / สีดำ / สีแดง / สีเหลือง
24925778439	**ยกแพ็ค** เทปย่น เทปกาว กระดาษกาว กระดาษกาวย่นพ่นสี เทปย่นพ่นสี INTER TAPE คุณภาพ คุ้มค่า	กาว-เทป-ซีลแลนท์	กาวทาท่อ-กาวยาง-กาวอเนกประสงค์		2 1/2นิ้วx20หลา / 3/4นิ้วx20หลา / 3นิ้วx20หลา / 1นิ้วx20หลา / 2นิ้วx20หลา / 1 1/2นิ้วx20หลา
18187488673	ลวดเชื่อมเหล็ก ลวดเชื่อมเหล็กเหนียว เชื่อมกาวาไนซ์ มี 2.6 3.2 มม(mm)	กาว-เทป-ซีลแลนท์	กาวทาท่อ-กาวยาง-กาวอเนกประสงค์		3.2mm ขาว / 3.2mm แดง / 3.2mm เขียว / 2.6mm ขาว / 2.6mm แดง / 2.6mm เขียว
26353237642	(12หลอด) กาวร้อน ยกโหล แห้งเร็ว 20กรัม งานโลหะ งานไม้ คุณภาพดี ราคาถูกสุดๆ	กาว-เทป-ซีลแลนท์	กาวร้อน		
9522240271	(1ชิ้น) กาวตราช้าง ของแท้ 100% ยี่ห้อ Alteco - ติดเหล็ก กาวติดไม้ ติดกระเบื้อง กาวร้อน	กาว-เทป-ซีลแลนท์	กาวร้อน	Alteco(ออลเทคโก้)	
25720945008	(1ชิ้น) กาวร้อน แห้งเร็ว 20กรัม งานโลหะ งานไม้ คุณภาพดี ราคาถูกสุดๆ	กาว-เทป-ซีลแลนท์	กาวร้อน		
26758810388	(1แผง) กาวตราช้างแดง กาวร้อน 1แถม1 แห้งเร็ว ติดทน ราคาถูก ติดเหล็ก กาวติดไม้ ติดกระเบื้อง ของแท้ 100%	กาว-เทป-ซีลแลนท์	กาวร้อน		
27708804904	กาวตราช้างแดง กาวร้อน ยกกล่อง 24หลอด แห้งเร็ว ติดทน ราคาถูก ติดเหล็ก กาวติดไม้ ติดกระเบื้อง ของแท้ 100%	กาว-เทป-ซีลแลนท์	กาวร้อน	Anybond(เอนี่บอนด์)	
8476467145	กาวตราช้าง **ยกกล่อง** Alteco - ติดเหล็ก กาวติดไม้ ติดกระเบื้อง กาวร้อน ของแท้ 100%	กาว-เทป-ซีลแลนท์	กาวร้อน	Alteco(ออลเทคโก้)	
11458948589	กาวตราช้าง *ยกลัง 24กล่อง* Alteco - ติดเหล็ก กาวติดไม้ ติดกระเบื้อง กาวร้อน ของแท้ 100%	กาว-เทป-ซีลแลนท์	กาวร้อน	Alteco(ออลเทคโก้)	
11195901254	กาวแท่ง กาวร้อนไฟฟ้า แท่งเล็ก ใหญ่ 1KG ไฟฟ้า ไส้ปืนกาวปืนไฟฟ้าอย่างดี เหนียวติดทน	กาว-เทป-ซีลแลนท์	กาวร้อน	Anybond(เอนี่บอนด์)	แท่งใหญ่ 11x300mm / แท่งเล็ก 7x150mm
10363875635	กาวมหาอุด **ยกลัง** EPOXY PUTTY 100g กาวดินน้ำมัน ซิลิโคนอีพ๊อกซี่ มหาอุต EpoPutty Alteco ครอบจักรวาล ติดสารพัด	กาว-เทป-ซีลแลนท์	กาวร้อน	Alteco(ออลเทคโก้)	
12039428492	กาวมหาอุด **ยกโหล** EPOXY PUTTY 100g กาวดินน้ำมัน ซิลิโคนอีพ๊อกซี่ มหาอุต EpoPutty Alteco ครอบจักรวาล ติดสารพัด	กาว-เทป-ซีลแลนท์	กาวร้อน	Alteco(ออลเทคโก้)	
11157434316	กาวมหาอุด EPOXY PUTTY 100g กาวดินน้ำมัน ซิลิโคนอีพ๊อกซี่ มหาอุต EpoPutty Alteco ครอบจักรวาล ติดสารพัด	กาว-เทป-ซีลแลนท์	กาวร้อน	Alteco(ออลเทคโก้)	
26709351126	กาวร้อนญี่ปุ่น อย่างดี เก็บได้1ปี ยกกล่อง 10หลอด แห้งเร็ว งานโลหะ งานไม้ คุณภาพดี ราคาถูกสุดๆ	กาว-เทป-ซีลแลนท์	กาวร้อน	Anybond(เอนี่บอนด์)	
18100573928	กาวร้อนญี่ปุ่น อย่างดี แห้งเร็ว 20กรัม *ยกกล่อง* 50หลอด งานโลหะ งานไม้ คุณภาพดี ราคาถูกสุดๆ	กาว-เทป-ซีลแลนท์	กาวร้อน		กาวร้อน50หลอด-แบบถุง / กาวร้อน50หลอด-กล่อง
28309148167	กาวร้อนญี่ปุ่น NINJA อย่างดี แห้งเร็ว 20กรัม *ยกกล่อง* 50หลอด งานโลหะ งานไม้ คุณภาพดี ราคาถูกสุดๆ	กาว-เทป-ซีลแลนท์	กาวร้อน		กาวร้อนแบ่งขาย-กล่อง / กาวร้อน50หลอด-แบบถุง / กาวร้อน50หลอด-กล่อง / กาวร้อนแบ่งขาย-ถุง
14051605005	กาวร้อน ญี่ปุ่น YOKOMO 505 **50หลอด ยกกล่อง** ติดทนนาน แห้งเร็ว กาวสารพัดประโยชน์ กาวอเนกประสงค์	กาว-เทป-ซีลแลนท์	กาวร้อน	Yokomo(โยโคโม)	
12730993875	กาวร้อน ญี่ปุ่น YOKOMO 505 ติดทนนาน แห้งเร็ว กาวสารพัดประโยชน์ กาวอเนกประสงค์	กาว-เทป-ซีลแลนท์	กาวร้อน	Yokomo(โยโคโม)	
4788889716	กาว Epoxy สตีล 3 ตัน ติดเหล็ก พลาสติก คอนกรีต สีเหล็ก ชนิดแห้ง 60 นาที ALTECO (1 หลอด) คุ้มค่า ราคาถูก คุณภาพดี!!!	กาว-เทป-ซีลแลนท์	กาวร้อน	Alteco(ออลเทคโก้)	
11104929063	กาว Epoxy สีใส 2ตัน แห้งเร็ว 5 นาที ALTECO HEAVY DUTY กาวอีพ็อกซี่ใสแรงยึดติดสูงพิเศษ SUPER CLEAR 40 กรัม	กาว-เทป-ซีลแลนท์	กาวร้อน	Alteco(ออลเทคโก้)	สีใส2Ton-20กรัม / สีใส2Ton-40กรัม / สีเหล็ก2Ton-40กรัม / สีเหล็ก3Ton-40กรัม
4684446005	กาว Epoxy อีพ็อกซี่ ใส 2 ตัน แห้งภายใน 5 นาที Alteco ของแท้ - Quick Clear Epoxy 2 ปะเหล็ก ติดเหล็ก พลาสติก คอนกรีต	กาว-เทป-ซีลแลนท์	กาวร้อน	Alteco(ออลเทคโก้)	20 กรัม / 40 กรัม
28213599193	*ยกลัง600ขวด* กาวร้อนญี่ปุ่น อย่างดี แห้งเร็ว 20กรัม งานโลหะ งานไม้ คุณภาพดี ราคาถูกสุดๆ	กาว-เทป-ซีลแลนท์	กาวร้อน		
13289663827	V2 กาว Epoxy สีใส 2ตัน แห้งเร็ว 5 นาที ALTECO HEAVY DUTY กาวอีพ็อกซี่ใสแรงยึดติดสูงพิเศษ SUPER CLEAR 40 กรัม	กาว-เทป-ซีลแลนท์	กาวร้อน	Alteco(ออลเทคโก้)	สีเหล็ก3Ton-40กรัม / สีใส2Ton-20กรัม / สีใส2Ton-40กรัม / สีเหล็ก2Ton-40กรัม
21401706972	**10ม้วน** เทปพันสายไฟ 3M รุ่น170 หนา 10เมตร สินค้าของแท้ 100%	กาว-เทป-ซีลแลนท์	เทปกาว	3M	
21101704960	**10ม้วน**เทปพันสายไฟ 3M Temflex Plus ขนาด 3/4 นิ้ว x 10 เมตร	กาว-เทป-ซีลแลนท์	เทปกาว	3M	
27558016628	(1ม้วน) เทปพันสายไฟ รุ่นหนา ยาว 10-20เมตร สีดำ 600โวลท์ ส่งจากไทย ราคาถูก ELECTRICAL INSULATION TAPE	กาว-เทป-ซีลแลนท์	เทปกาว	Anybond(เอนี่บอนด์)	20เมตร / 10เมตร
21379208798	ก๊อกฝักบัว Saza วาล์ว วาล์วฝักบัว สต๊อปวาล์ว วาล์วหางปลา ก็อกฝักบัว แถมเทปพันเกลียว	กาว-เทป-ซีลแลนท์	เทปกาว	Saza(ซาซ่า)	
9157583269	ถูกที่สุด !!!เทป พัน เกลียว PTFE100% ยี่ห้อ FEED 10m x 11mm x 0.05 mm อย่างหนา คุ้มค่า ราคาถูก	กาว-เทป-ซีลแลนท์	เทปกาว	Feed(ฟีด)	
9485597187	เทป พัน เกลียว (20ม้วน) PTFE100% ยี่ห้อ FEED 10m x 12mm x 0.05 mm อย่างหนา คุ้มค่า ราคาถูก	กาว-เทป-ซีลแลนท์	เทปกาว	Feed(ฟีด)	
20993430913	เทป พัน เกลียว *!ตราเสือ!* (20ม้วน) PTFE100% 10m x 12mm x 0.075 mm อย่างหนา คุ้มค่า ราคาถูก	กาว-เทป-ซีลแลนท์	เทปกาว		
23464187498	เทปพันเกลียว DUSS 12M x 16mm x 0.1mm เทปพันประปา เทปพันข้อต่อ (ยกกล่อง20ม้วน)	กาว-เทป-ซีลแลนท์	เทปกาว	DUSS(ดัส)	
17765003943	เทปพันสายไฟ 3M รุ่น170 หนา 10เมตร สินค้าของแท้ 100%	กาว-เทป-ซีลแลนท์	เทปกาว	3M	
14282843218	เทปพันสายไฟ 3M Temflex 150 ขนาด 3/4 นิ้ว x 10 เมตร	กาว-เทป-ซีลแลนท์	เทปกาว	3M	
13098561759	เทปใส OPP 2นิ้ว 100หลา **6ม้วน** แบบหนา ราคาคุ้ม เทป สี ใส เทปติดกล่อง ปิดกล่อง	กาว-เทป-ซีลแลนท์	เทปกาว	Anybond(เอนี่บอนด์)	
13102281429	เทปใส OPP 2นิ้ว 100หลา แบบหนา ราคาคุ้ม เทป สี ใส เทปติดกล่อง ปิดกล่อง	กาว-เทป-ซีลแลนท์	เทปกาว	Anybond(เอนี่บอนด์)	
25093665875	(แพ็ค3ม้วน) ผ้าฉาบ ผ้าเทปยิบซั่ม เทปยิปซั่ม งานเนี้ยบ ไร้รอยต่อ ขนาด 1นิ้ว	กาว-เทป-ซีลแลนท์	เทปกาว		1" นิ้ว / 1.5" นิ้ว / 2" นิ้ว
24920674980	(ยกลัง100ม้วน) เทปพันสายไฟ 3M รุ่น170 หนา 10เมตร สินค้าของแท้ 100%	กาว-เทป-ซีลแลนท์	เทปกาว	3M	
24420669525	(ยกลัง100ม้วน) เทปพันสายไฟ 3M Temflex 150 ขนาด 3/4 นิ้ว x 10 เมตร	กาว-เทป-ซีลแลนท์	เทปกาว	3M	
29108007945	**ยกลัง200ม้วน** เทปพันสายไฟ รุ่นหนา ยาว 10-20เมตร สีดำ 600โวลท์ ส่งจากไทย ราคาถูก ELECTRICAL INSULATION TAPE	กาว-เทป-ซีลแลนท์	เทปกาว	Anybond(เอนี่บอนด์)	10เมตร / 20เมตร
27602798485	(1ชิ้น) กุญแจ​ทองเหลือง ​ตรา​สาม​ห่วง ระบบสปริง คล้อง ล็อคประตู กุญแจบ้าน กุญแจแบบ คอยาว ป้องกันกุญแจผี	กุญแจ-บานพับ-อุปกรณ์ประตูหน้าต่าง	กุญแจ-สายยู		38mmคอยาว/1ชิ้น / 50mmคอยาว/1ชิ้น / 25mmคอยาว/1ชิ้น / 32mmคอยาว/1ชิ้น
28403172796	(1ชิ้น) กุญแจระบบลูกปืน Fion ฟีออน กุญแจแขวน ระบบลูกปืน LPG คอสั้น/คอยาว 35 mm - 50 mm.	กุญแจ-บานพับ-อุปกรณ์ประตูหน้าต่าง	กุญแจ-สายยู		45มม.คอสั้น/1ชิ้น / 50มม.คอสั้น/1ชิ้น / 35มม.คอยาว/1ชิ้น / 40มม.คอยาว/1ชิ้น / 45มม.คอยาว/1ชิ้น / 50มม.คอยาว/1ชิ้น / 35มม.คอสั้น/1ชิ้น / 40มม.คอสั้น/1ชิ้น
28550468719	(1ชุด) กุญแจล็อคประตู เขาควาย ROYAL No.1500 กุญแจประตูรั้ว กุญแจประตูเหล็ก กุญแจล็อครั้ว ด้ามจับสแตนเลส แท้	กุญแจ-บานพับ-อุปกรณ์ประตูหน้าต่าง	กุญแจ-สายยู	Royal(รอยัล)	
24579799379	( 1ชุด) สายยูประกับ(แบบแผง) SUN SUN หูสายยูหนา สายยูหูช้าง ห่วง สายยูประกบคู่หนา อุปกรณ์ประตู สายยูคล้องกุญ	กุญแจ-บานพับ-อุปกรณ์ประตูหน้าต่าง	กุญแจ-สายยู		ชุบโครเมี่ยม/ 1ชุด / รมดำ/ 1ชุด
26102899997	(1ชุด) สายยูมิล C.R.C. 3 ตอน 115มิล เหล็กชุบ ไม่ขึ้นสนิม สายยูเหล็ก สายยู เหล็กหนาแข็งแรง มี 3 สี	กุญแจ-บานพับ-อุปกรณ์ประตูหน้าต่าง	กุญแจ-สายยู		สีรมดำลายคราม/1ชุด / สีบรอนซ์/1ชุด / สีรมดำ/1ชุด
25132260192	(1ชุด) สายยูมิล C.R.C. เคลือบสีบรอนซ์ (2ตอน) เหล็กชุบ ไม่ขึ้นสนิม สายยูเหล็ก สายยู เหล็กหนาแข็งแรง	กุญแจ-บานพับ-อุปกรณ์ประตูหน้าต่าง	กุญแจ-สายยู		115มิล/1ชุด / 55มิล/1ชุด / 75มิล/1ชุด / 95มิล/1ชุด
25082261224	(1ชุด) สายยูเหล็กชุบโครเมี่ยม ตราจิงโจ้งสามดาว สายยูเหล็กคล้องกุญแจ เหล็กชุบ ไม่ขึ้นสนิม เหล็กหนาแข็งแรง	กุญแจ-บานพับ-อุปกรณ์ประตูหน้าต่าง	กุญแจ-สายยู	Kangaroo(จิงโจ้)	55มิล/1ชุด / 75มิล/1ชุด / 95มิล/1ชุด / 115มิล/1ชุด
